path,size_bytes,size_kb
dist/assets/compute.worker-CSxai5nY.js,4447,4.343
dist/assets/henon_periodic_orbits--xFm35uc.js,37713,36.829
dist/assets/henon_periodic_orbits_bg-N46szbRy.wasm,593109,579.208
dist/assets/index-7gcEMs6n.css,20149,19.677
dist/assets/index-BVDnHQ1s.js,753433,735.774
dist/assets/videoEncoder.worker-BQNAyRj9.js,1900,1.855
dist/index.html,462,0.451
dist/vite.svg,1497,1.462
