name,ok,returncode,duration_sec,cmd,cwd,stdout_path,stderr_path,error
backend_correctness_all_tests,1,0,46.0500,cargo test --release,/Users/namdo/Desktop/research/dynamical_systems/set-valued-viz,/Users/namdo/Desktop/research/dynamical_systems/set-valued-viz/evaluation/results_20260421_173139/backend_correctness_all_tests.stdout.log,/Users/namdo/Desktop/research/dynamical_systems/set-valued-viz/evaluation/results_20260421_173139/backend_correctness_all_tests.stderr.log,
backend_perf_benchmarks,1,0,21.3361,cargo run --release --bin eval_perf -- --out /Users/namdo/Desktop/research/dynamical_systems/set-valued-viz/evaluation/results_20260421_173139/backend_performance.json,/Users/namdo/Desktop/research/dynamical_systems/set-valued-viz,/Users/namdo/Desktop/research/dynamical_systems/set-valued-viz/evaluation/results_20260421_173139/backend_perf_benchmarks.stdout.log,/Users/namdo/Desktop/research/dynamical_systems/set-valued-viz/evaluation/results_20260421_173139/backend_perf_benchmarks.stderr.log,
frontend_correctness_tests,1,0,3.7051,npm run test,/Users/namdo/Desktop/research/dynamical_systems/set-valued-viz/frontend,/Users/namdo/Desktop/research/dynamical_systems/set-valued-viz/evaluation/results_20260421_173139/frontend_correctness_tests.stdout.log,/Users/namdo/Desktop/research/dynamical_systems/set-valued-viz/evaluation/results_20260421_173139/frontend_correctness_tests.stderr.log,
frontend_build,1,0,1.6923,npm run build,/Users/namdo/Desktop/research/dynamical_systems/set-valued-viz/frontend,/Users/namdo/Desktop/research/dynamical_systems/set-valued-viz/evaluation/results_20260421_173139/frontend_build.stdout.log,/Users/namdo/Desktop/research/dynamical_systems/set-valued-viz/evaluation/results_20260421_173139/frontend_build.stderr.log,
frontend_runtime_prep_perf,1,0,0.3345,node scripts/eval_frontend_perf.mjs --out /Users/namdo/Desktop/research/dynamical_systems/set-valued-viz/evaluation/results_20260421_173139/frontend_performance.json,/Users/namdo/Desktop/research/dynamical_systems/set-valued-viz/frontend,/Users/namdo/Desktop/research/dynamical_systems/set-valued-viz/evaluation/results_20260421_173139/frontend_runtime_prep_perf.stdout.log,/Users/namdo/Desktop/research/dynamical_systems/set-valued-viz/evaluation/results_20260421_173139/frontend_runtime_prep_perf.stderr.log,
